             x                 y                 z              cell   
    2.47916e-05      -5.39519e-05       8.01251e-06             14139 
     -0.0117382        -0.0505877         0.0246479               135 
   -8.96333e-05       0.000109089       0.000174885             11261 
   -4.82357e-05      -1.54183e-05       9.24114e-05             13984 
    2.41647e-05       5.33891e-05       7.90743e-05             15138 
   -3.29191e-05      -5.54109e-06      -4.61792e-06             15513 
    0.000318558        4.9272e-05       7.17713e-05              8095 
     0.00045834      -0.000107772       -0.00066275              3891 
    8.38882e-05       2.26363e-05      -0.000109548              9821 
    2.58569e-06        2.5864e-05       2.38371e-05             17110 
     0.00448477         0.0043307        0.00330432               520 
   -0.000226737      -0.000441393      -0.000737993              3623 
   -0.000568659      -0.000100507       -0.00019255              5575 
   -0.000103429       5.83988e-05      -2.89386e-05             12968 
   -0.000238276      -0.000165828       0.000265878              7257 
   -1.49504e-05       3.48012e-05       4.96124e-06             16930 
    0.000168182       9.40444e-05       -3.2261e-05              9927 
   -2.55733e-05       2.49369e-05       0.000150998             11248 
     0.00216629       -0.00196058       -0.00158741               981 
    2.32097e-05      -3.43336e-05       5.76106e-05             14177 
   -6.40488e-05       2.84134e-05      -5.91307e-05             12930 
   -7.67068e-06       7.80192e-05       6.38101e-06             14626 
    0.000130979       0.000107999       0.000162548             11675 
    -2.2649e-05      -1.13851e-06       1.63037e-05             16484 
    0.000263038       0.000279016       -6.7444e-05              6950 
    1.47931e-05      -1.28381e-05      -4.58792e-06             17404 
    8.73163e-05       8.32661e-05      -7.30705e-05             13329 
    0.000129519       8.78103e-05       6.30823e-05             11483 
   -9.01945e-06      -5.60197e-06        1.0185e-05             17614 
    0.000423708       0.000169551       0.000405346              8335 
    0.000327449      -9.27078e-05       0.000169063              7520 
    5.93064e-05        5.7235e-05       2.94668e-05             14912 
    0.000155181      -0.000118712      -4.15944e-05              9191 
   -0.000840168       4.08008e-05        -0.0012374              2567 
   -7.07489e-05      -0.000102709       0.000283041             10510 
   -0.000322429      -0.000159717       0.000134369              7117 
    -0.00040758       -0.00338985       -0.00100952              1425 
   -0.000112043       -6.4906e-05      -2.97174e-05             12052 
   -0.000137418       0.000640916       -0.00017271              4296 
    0.000460616        0.00203157        0.00059053              2239 
   -3.53914e-05       0.000142778      -0.000468136              6303 
    1.20556e-05        8.2472e-05       4.78227e-06             15006 
    0.000122589       0.000195996       8.94537e-05             11588 
    5.81366e-07       8.89586e-06      -1.39399e-05             16189 
    5.85802e-05       4.41055e-05       2.79889e-05             14910 
     0.00142765       0.000619022       -0.00120737              1763 
   -1.11919e-05       0.000172432       0.000490745              5256 
    -0.00255883       -0.00623675         0.0160255               197 
    0.000139047       -0.00022285      -0.000236016              6135 
   -1.18574e-05      -0.000456713      -8.36173e-06              5762 
    -0.00700354       -0.00937579       -0.00581372               340 
    2.94017e-06       0.000145795       4.74841e-05             11501 
    -2.1974e-05      -1.99229e-05       -3.2986e-05             15379 
    0.000544426      -0.000307359       0.000541116              3142 
   -0.000227093       0.000145689      -0.000285161              6329 
    1.25167e-06       2.97805e-05      -6.27858e-05             13215 
