             x                 y                 z              cell   
    -0.00195312        0.00585938        -0.0136719               388 
    -0.00195312        0.00195312       -0.00976562               389 
    -0.00585938        0.00585938       -0.00976562               390 
    -0.00195312        0.00585938       -0.00976562               391 
     -0.0136719        0.00195312       -0.00585938               392 
     -0.0136719        0.00195312       -0.00195312               393 
    -0.00976562        0.00195312       -0.00195312               394 
     -0.0136719        0.00585938       -0.00195312               395 
    -0.00976562        0.00585938       -0.00195312               396 
    -0.00585938        0.00195312       -0.00585938               397 
    -0.00195312        0.00195312       -0.00585938               398 
    -0.00585938        0.00585938       -0.00585938               399 
    -0.00195312        0.00585938       -0.00585938               400 
    -0.00585938        0.00195312       -0.00195312               401 
    -0.00195312        0.00195312       -0.00195312               402 
    -0.00585938        0.00585938       -0.00195312               403 
    -0.00195312        0.00585938       -0.00195312               404 
    -0.00585938        0.00976562       -0.00585938               405 
    -0.00195312        0.00976562       -0.00585938               406 
    -0.00585938         0.0136719       -0.00585938               407 
    -0.00585938        0.00976562       -0.00195312               408 
    -0.00195312        0.00976562       -0.00195312               409 
    -0.00585938         0.0136719       -0.00195312               410 
     0.00195312        0.00195312        -0.0136719               411 
     0.00195312        0.00195312       -0.00976562               412 
     0.00585938        0.00195312       -0.00976562               413 
     0.00195312        0.00585938       -0.00976562               414 
     0.00585938        0.00585938       -0.00976562               415 
     0.00195312        0.00195312       -0.00585938               416 
     0.00585938        0.00195312       -0.00585938               417 
     0.00195312        0.00585938       -0.00585938               418 
     0.00585938        0.00585938       -0.00585938               419 
     0.00195312        0.00195312       -0.00195312               420 
     0.00585938        0.00195312       -0.00195312               421 
     0.00195312        0.00585938       -0.00195312               422 
     0.00585938        0.00585938       -0.00195312               423 
     0.00976562        0.00195312       -0.00585938               424 
      0.0136719        0.00195312       -0.00585938               425 
     0.00976562        0.00585938       -0.00585938               426 
      0.0136719        0.00585938       -0.00585938               427 
     0.00976562        0.00195312       -0.00195312               428 
      0.0136719        0.00195312       -0.00195312               429 
      0.0136719        0.00585938       -0.00195312               430 
     0.00195312        0.00976562       -0.00585938               431 
     0.00585938        0.00976562       -0.00585938               432 
     0.00585938         0.0136719       -0.00585938               433 
     0.00195312        0.00976562       -0.00195312               434 
     0.00585938        0.00976562       -0.00195312               435 
     0.00195312         0.0136719       -0.00195312               436 
     0.00585938         0.0136719       -0.00195312               437 
    -0.00585938        -0.0136719        0.00195312               438 
    -0.00195312        -0.0136719        0.00195312               439 
    -0.00195312       -0.00976562        0.00195312               440 
    -0.00585938        -0.0136719        0.00585938               441 
    -0.00585938       -0.00976562        0.00585938               442 
    -0.00195312       -0.00976562        0.00585938               443 
     -0.0136719       -0.00585938        0.00195312               444 
    -0.00976562       -0.00585938        0.00195312               445 
     -0.0136719       -0.00195312        0.00195312               446 
    -0.00976562       -0.00195312        0.00195312               447 
    -0.00976562       -0.00585938        0.00585938               448 
     -0.0136719       -0.00195312        0.00585938               449 
    -0.00976562       -0.00195312        0.00585938               450 
    -0.00585938       -0.00585938        0.00195312               451 
    -0.00195312       -0.00585938        0.00195312               452 
    -0.00585938       -0.00195312        0.00195312               453 
    -0.00195312       -0.00195312        0.00195312               454 
    -0.00585938       -0.00585938        0.00585938               455 
    -0.00195312       -0.00585938        0.00585938               456 
    -0.00585938       -0.00195312        0.00585938               457 
    -0.00195312       -0.00195312        0.00585938               458 
    -0.00195312       -0.00585938        0.00976562               459 
    -0.00585938       -0.00195312        0.00976562               460 
    -0.00195312       -0.00195312        0.00976562               461 
    -0.00195312       -0.00585938         0.0136719               462 
    -0.00585938       -0.00195312         0.0136719               463 
    -0.00195312       -0.00195312         0.0136719               464 
     0.00585938        -0.0136719        0.00195312               465 
     0.00195312       -0.00976562        0.00195312               466 
     0.00585938       -0.00976562        0.00195312               467 
     0.00195312       -0.00976562        0.00585938               468 
     0.00585938       -0.00976562        0.00585938               469 
     0.00195312       -0.00585938        0.00195312               470 
